PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Comesana F.,Rublev A.,122,6,1,24.44,1.04,14.43,1.02,1,0,1,2,2,20,11,0.5,0.6451612903225806
Kwon S.W.,Rune H.,367,15,0,7.03,1.15,6.35,1.12,2,1,1,3,6,12,8,0.3333333333333333,0.6
Carballes Baena R.,Zverev A.,64,4,0,29.0,1.04,17.1,1.02,0,2,-2,4,13,45,22,0.23529411764705882,0.6716417910447762
Djokovic N.,Kopriva V.,2,123,1,1.04,22.53,1.02,14.74,1,0,1,117,18,0,1,0.8666666666666667,0.0
Fritz T.,O Connell C.,12,79,1,1.1,12.2,1.06,9.6,3,0,3,41,24,4,8,0.6307692307692307,0.3333333333333333
Etcheverry T.,Nardi L.,31,75,1,1.65,2.5,1.58,2.38,1,0,1,4,9,1,3,0.3076923076923077,0.25
Fearnley J.,Moro Canas A.,277,188,1,1.55,2.84,1.48,2.67,1,0,1,4,5,0,1,0.4444444444444444,0.0
Daniel T.,Tsitsipas S.,84,11,0,12.14,1.11,9.75,1.06,0,2,-2,0,10,23,18,0.0,0.5609756097560976
Gaston H.,Muller A.,71,102,0,1.69,2.43,1.63,2.27,0,1,-1,3,3,2,4,0.5,0.3333333333333333
Ofner S.,Vukic A.,45,69,0,2.25,1.79,2.14,1.71,0,2,-2,7,9,10,11,0.4375,0.47619047619047616
Bergs Z.,Cazaux A.,82,98,0,1.45,3.2,1.41,2.93,0,1,-1,5,6,1,2,0.45454545454545453,0.3333333333333333
Harris L.,Michelsen A.,118,55,1,1.85,2.11,1.77,2.06,1,0,1,8,10,14,10,0.4444444444444444,0.5833333333333334
Bublik A.,Mensik J.,23,78,1,1.47,3.03,1.44,2.82,1,2,-1,38,19,4,6,0.6666666666666666,0.4
Humbert U.,Shevchenko A.,16,57,1,1.14,7.58,1.12,6.25,2,0,2,29,23,1,3,0.5576923076923077,0.25
Altmaier D.,Fery A.,80,247,1,2.06,1.94,1.96,1.86,1,0,1,6,11,0,2,0.35294117647058826,0.0
Arnaldi M.,Tiafoe F.,35,29,0,2.32,1.79,2.16,1.7,1,1,0,1,4,23,19,0.2,0.5476190476190477
Kotov P.,Thompson J.,53,40,0,4.62,1.29,4.18,1.23,1,1,0,2,2,32,31,0.5,0.5079365079365079
Marozsan F.,Struff J.L.,43,41,0,4.8,1.26,4.3,1.22,1,2,-1,2,7,26,33,0.2222222222222222,0.4406779661016949
Broady L.,Van De Zandschulp B.,156,97,0,2.47,1.64,2.34,1.6,1,1,0,9,18,9,10,0.3333333333333333,0.47368421052631576
